#scientific name	type materials and coidentical strains	has individual sequences?	has complete genomes or assemblies?
Novimethylophilus kurashikiensis	KCTC 62100, La2-4, NBRC 112378	yes	no
Novispirillum itersonii	ATCC 12639, CCUG 49447, CIP 105798, JCM 21278, JCM 21494, LMG 4337, NBRC 15648	yes	yes
Novispirillum itersonii subsp. itersonii	ATCC 12639, CCUG 49447, CIP 105798, JCM 21278, LMG 4337, NBRC 15648	no	no
Novispirillum itersonii subsp. nipponicum	ATCC 33333, CCUG 49448, DSM 11590, IAM 14945, IFO 13615, JCM 21427, LMG 7370, NBRC 13615	yes	no
Novosphingobium acidiphilum	CCM 7496, CCUG 55538, DSM 19966, FSW06-204d	yes	yes
Novosphingobium aquaticum	CCM 7983, DSM 25088, FNE08-86	yes	no
Novosphingobium aquaticum Glaeser et al. 2013	CCM 7983, DSM 25088, FNE08-86	yes	no
Novosphingobium aquiterrae	E-II-3, KACC 17599, NBRC 109812, NCAIM B 02537	yes	no
Novosphingobium arabidopsis	BCRC 80571, CC-ALB-2, JCM 18896	yes	no
Novosphingobium aromaticivorans	ATCC 700278, CIP 105152, DSM 12444, F199, HAMBI 2257, IFO 16084, NBRC 16084, SMCC F199	yes	yes
Novosphingobium barchaimii	CCM 7980, DSM 25411, LL02	yes	yes
Novosphingobium bradum	BCRC 80925, KCTC 42984, LMG 29291, STM-24	yes	no
Novosphingobium capsulatum	ATCC 14666, CCUG 17697, CCUG 31202, CIP 82.103, DSM 30196, GIFU 11526, HAMBI 103, IFO 12533, JCM 7452, JCM 7508, LMG 2830, NBRC 12533, NCIB 9890, VKM B-1564	yes	yes
Novosphingobium chloroacetimidivorans	BUT-14, CCTCC AB 2013086, JCM 19923, KACC 17147	yes	no
Novosphingobium clariflavum	164, CICC 11035s, DSM 103351	yes	no
Novosphingobium colocasiae	KCTC 32255, LMG 27385, Teta-03	yes	no
Novosphingobium endophyticum	CGMCC 1.15095, DSM 29948, EGI 60015, KCTC 42486	yes	no
Novosphingobium flavum	KACC 18571, NBRC 111647, UCM-28	yes	no
Novosphingobium fluoreni	ACCC19180, DSM 27568, HLJ-RS18	yes	no
Novosphingobium fontis	BCRC 80924, KCTC 42983, LMG 29290, STM-14	yes	no
Novosphingobium fuchskuhlense	CCM 7978, CCUG 61508, DSM 25065, FNE08-7	yes	yes
Novosphingobium ginsenosidimutans	FW-6, JCM 18202, KACC 16615	yes	no
Novosphingobium gossypii	CCM 8569, CIP 110884, JM-1396, LMG 28605	yes	no
Novosphingobium guangzhouense	DSM 32207, GDMCC 1.1110, SA925	yes	yes
Novosphingobium hassiacum	CCUG 48038, CIP 107176, DSM 14552, W-51	yes	no
Novosphingobium humi	JCM 31879, KACC 19094, R1-4	no	no
Novosphingobium indicum	CGMCC 1.6784, H25, LMG 24713, MCCC 1A01080	yes	no
Novosphingobium ipomoeae	BCRC 80904, KCTC 42656, LMG 28838, Tese-5	no	no
Novosphingobium kunmingense	18-11HK, CGMCC 1.12274, DSM 25975	yes	yes
Novosphingobium lentum	CCUG 45847, CIP 108698, DSM 13663, MT1, NBRC 107847	yes	yes
Novosphingobium lindaniclasticum	CCM 7976, DSM 25409, LE124	yes	yes
Novosphingobium lotistagni	CCTCC AB 2015354, KACC 18541, THG-DN6.20	yes	no
Novosphingobium malaysiense	DSM 27798, MCCC 1A00645, MUSC 273, NBRC 109947	yes	yes
Novosphingobium marinum	CGMCC 1.12918, JCM 30307, LA53	yes	no
Novosphingobium mathurense	CCM 7473, MTCC 9020, MTCC9020, SM117	yes	yes
Novosphingobium naphthae	D39, JCM 31158, KACC 18593, KEMB 9005-346	yes	no
Novosphingobium naphthalenivorans	DSM 18518, JCM 13951, NBRC 102051, TUT562	yes	yes
Novosphingobium nitrogenifigens	DSM 19370, ICMP 16470, Y88	yes	yes
Novosphingobium oryzae	ACCC 06131, JCM 30537, ZYY112	yes	no
Novosphingobium panipatense	CCM 7472, MTCC 9019, MTCC9019, SM16	yes	no
Novosphingobium pentaromativorans	CIP 108548, DSM 17173, JCM 12182, KCTC 10454, US6-1	yes	yes
Novosphingobium piscinae	BCRC 80888, KCTC 42194, LMG 28418, SLH-16	yes	no
Novosphingobium pokkalii	KCTC 42224, L3E4, LMG 28916, MTCC 12357	yes	no
Novosphingobium resinovorum	ATCC 33545, CCUG 33446 A, CCUG 33446 B, DSM 10700, DSM 10700 [[Novosphingobium subarcticum]], DSM 10700 [[Sphingomonas subarctica]], DSM 7478, DSM 7478 [[Novosphingobium subarcticum]], DSM 7478 [[Sphingomonas subarctica]], HAMBI 2110, HAMBI 2110 [[Novosphingobium subarcticum]], HAMBI 2110 [[Sphingomonas subarctica]], KF1, KF1 [[Novosphingobium subarcticum]], KF1 [[Sphingomonas subarctica]], LMG 8367, NCIB 8767, NCIB 8767 [[Novosphingobium subarcticum]], NCIB 8767 [[Sphingomonas subarctica]], NCIMB 8767, VKM B-1172	yes	yes
Novosphingobium rhizosphaerae	CCM 8547, JM-1, LMG 28479	yes	no
Novosphingobium rosa	ATCC 51837, DSM 7285, HAMBI 2068, IAM 14222, IFO 15208, JCM 10276, LMG 17328, NBRC 15208, NCPPB 2661	yes	yes
Novosphingobium sediminicola	HU1-AH51, KCTC 22311, LMG 24320	yes	no
Novosphingobium sediminis	CGMCC 1.9114, NBRC 106119, YG-17	yes	no
Novosphingobium soli	CC-TPE-1, CCM 7706, CCUG 58493, DSM 22821	yes	no
Novosphingobium stygium	ATCC 700280, B0712, CIP 105154, DSM 12445, IFO 16085, NBRC 16085, SMCC B0712	yes	yes
Novosphingobium subterraneum	ATCC 700279, B0478, CIP 105153, DSM 12447, IFO 16086, NBRC 16086, SMCC B0478	yes	yes
Novosphingobium taihuense	AS 1.3432, JCM 12465, T3-B9	yes	no
Novosphingobium tardaugens	ARI-1, ATCC BAA-531, IFO 16725, JCM 11434, NBRC 16725	yes	yes
Novosphingobium tardum	16-28-2, CGMCC 1.12989, NBRC 110956	yes	no
Nubsella zeaxanthinifaciens	CCUG 54348, NBRC 102579, TDMA-5	yes	no
Numidum massiliense	CSUR P1305, DSM 29571, mt3	yes	yes
Obesumbacterium proteus	ATCC 12841, CCUG 2078, CIP 82.93, DSM 2777, LMG 3054, NCIB 8771, NCIMB 8771, VKM B-964	yes	yes
Oblitimonas alkaliphila	B4199, CCUG 67636, DSM 100830	yes	yes
Occallatibacter riparius	277, DSM 25168, LMG 26948	yes	no
Occallatibacter savannae	A2-1c, DSM 25170, LMG 26946	yes	no
Occidentia massiliensis	CSUR P764, DSM 24860, OS118, OS18	yes	yes
Oceanibacterium hippocampi	BFLP-8, CECT 7691, DSM 23444	yes	yes
Oceanibaculum indicum	CCTCC AB 208226, LMG 24626, MCCC 1A02083, P24	yes	yes
Oceanibaculum nanhaiense	KCTC 52312, L54-1-50, MCCC 1A05150	no	yes
Oceanibaculum pacificum	CCTCC AB 209059, LMC2up-L3, LMG 24859, MC2UP-L3, MCCC 1A02656	yes	yes
Oceanibulbus indolifex	DSM 14862, HEL-45, MCCC 1A11773, NCIMB 13983	yes	yes
Oceanicaulis alexandrii	C116-18, DSM 11625, NCIMB 13905	yes	yes
Oceanicaulis stylophorae	BCRC 80207, GISW-4, LMG 25723	yes	no
Oceanicella actignis	CGMCC 1.10808 [[Pleomorphobacterium xiamenense]], CLW [[Pleomorphobacterium xiamenense]], DSM 22673, LMG 25334, LMG 26245 [[Pleomorphobacterium xiamenense]], MCCC 1A06272 [[Pleomorphobacterium xiamenense]], PRQ-67	yes	yes
Oceanicoccus sagamiensis	KCTC 23278, NBRC 107125, PZ-5	yes	yes
Oceanicola flagellatus	CGMCC 1.12664, DY470, LMG 27871	yes	no
Oceanicola granulosus	ATCC BAA-861, DSM 15982, HTCC2516, KCTC 12143	yes	yes
Oceanicola litoreus	CCUG 62794, KCTC 32083, M-M22	yes	no
Oceaniglobus indicus	1-19b, KCTC 52709, MCCC 1A11863	yes	yes
Oceanihabitans sediminis	DSM 28133, LMG 28074, S9-10	yes	no
Oceanimonas baumannii	ATCC 700832, DSM 15594, GB6, NCIMB 13685	yes	yes
Oceanimonas doudoroffii	70, ATCC 27123, CCUG 12373, CCUG 16001, CIP 74.9, DSM 7028, JCM 21046, LMG 2180, NBRC 103032	yes	yes
Oceanimonas smirnovii	31-13, ATCC BAA-899, LMG 22147, UCM B-11076	yes	yes
Oceaniovalibus guishaninsula	CGMCC 1.10827, JCM 17765, JLT2003	yes	yes
Oceanirhabdus sediminicola	CCTCC AB 2013103, JCM 18501, KCTC 15322, NH-JN4	yes	no
Oceaniserpentilla haliotis	DSM 19503, LMG 24225	yes	no
Oceanisphaera arctica	CCUG 58690, KCTC 23013, NBRC 106171, V1-41	yes	yes
Oceanisphaera donghaensis	BL1, DSM 17589, KCTC 12522	yes	no
Oceanisphaera litoralis	DSM 15406, KMM 3654	yes	no
Oceanisphaera marina	CGMCC 1.15923, KACC 18564, YM319	yes	no
Oceanisphaera ostreae	CCUG 60525, KCTC 23422, T-w6	yes	no
Oceanisphaera profunda	CCTCC AB 2013241, KCTC 32510, SM1222	yes	yes
Oceanisphaera psychrotolerans	ACCC 06516, JCM 30466, LAM-WHM-ZC	yes	yes
Oceanisphaera sediminis	JCM 17329, KACC 15117, TW92	yes	no
Oceanispirochaeta litoralis	ATCC 27000, DSM 2029, R 1, R1	yes	no
Oceanispirochaeta sediminicola	DSM 104770, KCTC 15593, KEMB 3001-381, SY2	yes	no
Oceanithermus desulfurans	DSM 15757, NBRC 100063, St55B	yes	no
Oceanithermus profundus	506, DSM 14977, NBRC 100410, VKM B-2274	no	yes
Oceanivirga salmonicida	AVG 2115, DSM 101867, NCIMB 703044	yes	yes
Oceanobacillus aidingensis	AD7-25, CGMCC 1.9106, NBRC 105904	yes	no
Oceanobacillus arenosus	CAU 1183, CECT 8560, KCTC 3303, KCTC 33037	yes	no
Oceanobacillus bengalensis	CGMCC 1.12799, KCTC 33416, MCCC 1K00260, Ma-21	yes	no
Oceanobacillus caeni	CCUG 53534, CIP 109363, KCTC 13061, S-11	yes	no
Oceanobacillus chironomi	DSM 18262, LMG 23627, T3944D	yes	no
Oceanobacillus chungangensis	CAU 1051, CCUG 62987, CCUG 63270, KCTC 33035	yes	no
Oceanobacillus damuensis	DSM 26901, KCTC 33146, PT-20	yes	yes
Oceanobacillus endoradicis	DSM 100726, KCTC 33731, py1294	yes	no
Oceanobacillus gochujangensis	CIP 110582, KCCM 101304, KCTC 33014, NBRC 109637, TK1655	yes	no
Oceanobacillus halophilus	DSM 23996, IBRC-M 10444, J8B	yes	no
Oceanobacillus iheyensis	DSM 14371, HTE831, JCM 11309	yes	yes
Oceanobacillus indicireducens	A21, JCM 17251, NCIMB 14685	yes	no
Oceanobacillus jeddahense	CSUR P1091, DSM 28586, S5	yes	yes
Oceanobacillus kapialis	KCTC 13177, PCU 300, SSK2-2, TISTR 1858	yes	no
Oceanobacillus kimchii	DSM 23341, JCM 16803, KACC 14914, X50	yes	yes
Oceanobacillus limi	CECT 7997, H9B, IBRC-M 10780, KCTC 13823	yes	yes
Oceanobacillus locisalsi	CCUG 56608, CHL-21, KCTC 13253	yes	no
Oceanobacillus longus	IBRC-M 10703, LMG 29250, T9B	yes	no
Oceanobacillus luteolus	CGMCC 1.12406, KCTC 33119, WM-1	yes	no
Oceanobacillus manasiensis	CGMCC 1.9105, NBRC 105903, YD3-56	yes	no
Oceanobacillus massiliensis	CSUR 132, DSM 24644, N'diop	yes	no
Oceanobacillus neutriphilus	A1g, CGMCC 1.7693, JCM 15776	yes	no
Oceanobacillus oncorhynchi	JCM 12661, NCIMB 14022, R-2	yes	no
Oceanobacillus oncorhynchi subsp. incaldanensis	20AG, ATCC BAA-954, DSM 16557	yes	no
Oceanobacillus oncorhynchi subsp. oncorhynchi	JCM 12661, NCIMB 14022, R-2	no	no
Oceanobacillus pacificus	DSM 25873, JCM 18381, XH204	yes	no
Oceanobacillus picturae	DSM 14867, KCTC 3821, LMG 19492	yes	no
Oceanobacillus polygoni	JCM 17252, NCIMB 14684, SA9	yes	no
Oceanobacillus profundus	CL-MP28, DSM 18246, KCCM 42318	yes	no
Oceanobacillus rekensis	DSM 26900, KCTC 33144, PT-11	yes	yes
Oceanobacillus senegalensis	CSUR P3587, Marseille-P3587	yes	yes
Oceanobacillus sojae	CIP 109918, JCM 15792, NBRC 105379, NCIMB 14542, NRRL B-59181, Y27	yes	no
Oceanobacillus timonensis	CSUR P3532, Marseille-P3532	yes	yes
Oceanobacter kriegii	197, ATCC 27133, CIP 103443, DSM 6294, IFO 15467, LMG 6238, NBRC 15467	yes	yes
Oceanococcus atlanticus	22II-S10r2, CGMCC 1.12317, CGMCC NO.1.12317, LMG 27155, MCCC 1A09384	yes	yes
Oceanospirillum beijerinckii	ATCC 12754, ATCC 12754 [[Oceanospirillum beijerinckii subsp. pelagicum]], ATCC 12754 [[Oceanospirillum pelagicum]], ATCC 33337, ATCC 33337 [[Oceanospirillum beijerinckii subsp. pelagicum]], ATCC 33337 [[Oceanospirillum pelagicum]], CIP 103375, DSM 6288, DSM 6288 [[Oceanospirillum beijerinckii subsp. pelagicum]], DSM 6288 [[Oceanospirillum pelagicum]], DSM 7166, DSM 7166 [[Oceanospirillum beijerinckii subsp. pelagicum]], DSM 7166 [[Oceanospirillum pelagicum]], IFO 13612, IFO 13612 [[Oceanospirillum beijerinckii subsp. pelagicum]], IFO 13612 [[Oceanospirillum pelagicum]], IFO 15445, LMG 5405, NBRC 15445, NCMB 2228, NCMB 2228 [[Oceanospirillum beijerinckii subsp. pelagicum]], NCMB 2228 [[Oceanospirillum pelagicum]], NCMB 52, NCMB 52 [[Oceanospirillum beijerinckii subsp. pelagicum]], NCMB 52 [[Oceanospirillum pelagicum]], VPI 34	yes	yes
Oceanospirillum beijerinckii subsp. pelagicum	ATCC 33337, CIP 103385, DSM 6288, IFO 13612, LMG 5307, NBRC 13612, NCIMB 2228, SWC UF1	yes	no
Oceanospirillum linum	ATCC 11336, CIP 103374, DSM 6292, IFO 15448, LMG 5214, NBRC 15448, VKM B-1416	yes	yes
Oceanospirillum maris	ATCC 27509, ATCC 27509 [[Oceanospirillum hiroshimense]], ATCC 27509 [[Oceanospirillum maris subsp. hiroshimense]], ATCC 27509 [[Oceanospirillum maris subsp. williamsae]], ATCC 29547, ATCC 29547 [[Oceanospirillum hiroshimense]], ATCC 29547 [[Oceanospirillum maris subsp. hiroshimense]], ATCC 29547 [[Oceanospirillum maris subsp. williamsae]], CIP 103445, DSM 6286, DSM 6286 [[Oceanospirillum hiroshimense]], DSM 6286 [[Oceanospirillum maris subsp. hiroshimense]], DSM 6286 [[Oceanospirillum maris subsp. williamsae]], DSM 9524, DSM 9524 [[Oceanospirillum hiroshimense]], DSM 9524 [[Oceanospirillum maris subsp. hiroshimense]], DSM 9524 [[Oceanospirillum maris subsp. williamsae]], IFO 13616, IFO 13616 [[Oceanospirillum hiroshimense]], IFO 13616 [[Oceanospirillum maris subsp. hiroshimense]], IFO 13616 [[Oceanospirillum maris subsp. williamsae]], Jannasch 101, LMG 5213, VPI 35	yes	yes
Oceanospirillum maris subsp. hiroshimense	CIP 103384, DSM 9524, IFO 13616, LMG 5305, LMG 7371, NBRC 13616, SWC OF2	yes	no
Oceanospirillum maris subsp. williamsae	ATCC 29547, IFO 15468, LMG 15711, LMG 17056, LMG 5210, Linn 2b, NBRC 15468, NCMB 54	yes	no
Oceanospirillum multiglobuliferum	ATCC 33336, CIP 103383, IFO 13614, NBRC 13614	yes	yes
Oceanospirillum nioense	KCTC 32008, MTCC 11154, NIO-S6	yes	no
Oceanospirillum sanctuarii	AK56, JCM 19193, KCTC 52973, MTCC 12005	yes	yes
Oceanotoga teriensis	JCM 15580, LMG 24865, OCT74	yes	no
Ochrobactrum anthropi	ATCC 49188, CCUG 24695, CIP 14970, CIP 82.115, DSM 6882, IFO 15819, JCM 21032, LMG 3331, NBRC 15819, NCTC 12168	yes	yes
Ochrobactrum ciceri	CCUG 57879, Ca-34, DSM 22292	yes	no
Ochrobactrum cytisi	CECT 7172, ESC1, LMG 22713	yes	no
Ochrobactrum daejeonense	JCM 16234, KCTC 22458, MJ11	yes	no
Ochrobactrum endophyticum	CGMCC 1.15082, DSM 29930, EGI 60010, KCTC 42485	yes	no
Ochrobactrum gallinifaecis	CCUG 48291, CIP 107753, DSM 15295, Iso 196, Iso196	yes	no
Ochrobactrum grignonense	CCUG 46362, DSM 13338, LMG 18954, NBRC 102586, OgA9a	yes	yes
Ochrobactrum haematophilum	CCUG 38531, CIP 109452	yes	no
Ochrobactrum intermedium	CCUG 24694, CIP 105838, CNS 2-75, DSM 17986, IFO 15820, LMG 3301, NBRC 15820, NCTC 12171	yes	yes
Ochrobactrum lupini	DSM 16930, LMG 22726, LUP21, NBRC 102587	yes	yes
Ochrobactrum oryzae	DSM 17471, MTCC 4195, NBRC 102588	yes	no
Ochrobactrum pecoris	08RB2639, CCM 7822, CCUG 60088, DSM 23868	yes	no
Ochrobactrum pituitosum	CCUG 50899, DSM 22207	yes	no
Ochrobactrum pseudintermedium	ADV31, CIP 109116, DSM 17490	yes	no
Ochrobactrum pseudogrignonense	CCUG 30717, CIP 109451	yes	yes
Ochrobactrum rhizosphaerae	CCM 7493, CCUG 55411, DSM 19824, PR17	yes	yes
Ochrobactrum thiophenivorans	CCM 7492, CCUG 55412, DSM 7216	yes	yes
Ochrobactrum tritici	CCUG 47104, DSM 13340, LMG 18957, NBRC 102585, SCII24	yes	no
Ochrovirga pacifica	JCM 18327, KCCM 90106, S85	yes	yes
Octadecabacter antarcticus	307, CIP 106731	yes	yes
Octadecabacter arcticus	238, CIP 106732, DSM 13978	yes	yes
Octadecabacter ascidiaceicola	CECT 8868, KCTC 42605, RA1-3	yes	yes
Octadecabacter ponticola	HDSW-34, KCTC 52250, NBRC 112296	yes	no
Octadecabacter temperatus	DSM 26878, LMG 27946, SB1	yes	yes
Oculatella atacamensis	ATA3-4Q-CV5, CCALA 1047	yes	no
Oculatella cataractarum	CCALA 1038, GSE-PSE-MK52-07L	yes	no
Oculatella coburnii	CCALA 1046, WJT66-NPBG6A	yes	no
Oculatella hafneriensis	CCALA 1041, Hindak 1982/12	yes	no
Oculatella kauaiensis	CCALA 1040, HA4348-LM1	yes	no
Oculatella mojaviensis	CCALA 1044, CMT-3BRINC87	yes	no
Oculatella neakameniensis	CCALA 1042, Kovacik 1990/54	yes	no
Odoribacter denticanis	ATCC PTA-3625, B106, CNCM I-3225	yes	no
Odoribacter laneus	DSM 22474, JCM 16069, YIT 12061	yes	yes
Odoribacter splanchnicus	ATCC 29572, CCUG 21054 A, CIP 104287, DSM 20712, JCM 15291, LMG 8202, NCTC 10825	yes	yes
Oenococcus alcoholitolerans	CBAS 474, LMG 27599, UFRJ-M7.2.18	yes	yes
Oenococcus kitaharae	DSM 17330, JCM 13282, NRIC 0645	yes	yes
Oenococcus oeni	ATCC 23279, CCUG 30199, CCUG 32250, CIP 106144, DSM 20252, JCM 6125, LMG 9851, NBRC 100497, NCDO 1674, NCIMB 11648, NRRL B-3472	yes	yes
Oerskovia enterophila	ATCC 35307, DFA-19, DSM 43852, HMGB B1078, IFO 14295, IMET 7687, JCM 7350, NBRC 14295, NRRL B-16223	yes	yes
Oerskovia jenensis	CCUG 47142, CIP 100330, DSM 46000, JCM 9969	yes	no
Oerskovia paurometabola	CCUG 47105, DSM 14281, JCM 11755, LMG 20385	yes	no
Oerskovia turbata	891, ATCC 25835, CFBP 4266, CIP 100331, DSM 20577, IFO 15015, IMET 7405, JCM 3160, LMG 4072, NBRC 15015, NCIB 10587, NCIMB 10587, NCTC 11973, NRRL B-8019, Oerskov 27, VKM Ac-1024, rskov 27	yes	yes
Oharaeibacter diazotrophicus	DSM 102969, NBRC 111955, SM30	yes	no
Ohtaekwangia koreensis	3B-2, CCUG 58939, KCTC 23018	yes	no
Ohtaekwangia kribbensis	10AO, CCUG 58938, KCTC 23019	yes	no
Okeania comitata	3L-OSC	yes	no
Okeania erythroflocculosa	FFP12-1	yes	no
Okeania hirsuta	PAB-10-Feb-10-1	yes	no
Okeania lorea	FK12-17	yes	no
Okeania plumata	FK12-27	yes	no
Okibacterium endophyticum	EG1 650022, EGI 650022, JCM 30086, KCTC 29492	yes	no
Okibacterium fritillariae	IFO 16404, JCM 12284, NBRC 16404, VKM Ac-2059	yes	yes
Olegusella massiliensis	CSUR P2268, DSM 101849, KHD7	yes	yes
Oleiagrimonas citrea	JCM 30904, KCCM 43131, MEBiC09124, MEBic09124	yes	no
Oleiagrimonas soli	3.5X, CPCC 100614, KCTC 42351, NBRC 110685	yes	yes
Oleibacter marinus	2O1, BTCC B-675, NBRC 105760	yes	no
Oleiharenicola alkalitolerans	ATCC BAA-2697, DSM 29249, NVT	yes	no
Oleiphilus messinensis	DSM 13489, LMG 20357, ME102	yes	yes
Oleispira antarctica	DSM 14852, LMG 21398, RB-8	yes	no
Oleispira lenta	DFH11, LMG 24829, NCIMB 14529	yes	no
Oleomonas sagaranensis	FERM P-18643, HD-1	yes	no
Oligella ureolytica	ATCC 43534, CCUG 1465, CCUG 1465 Aa, CDC C379, CIP 103114, DSM 18253, LMG 6519	yes	yes
Oligella urethralis	ATCC 17960, CCUG 13463, CCUG 16463, CCUG 37823, CDC 7603, CDC C7603, CIP 103116, DSM 7531, IFO 14589, JCM 20913, LMG 1015, LMG 5303, NBRC 14589, NCTC 12964	yes	yes
Oligoflexus tunisiensis	JCM 16864, NCIMB 14846, Shr3	yes	yes
Oligosphaera ethanolica	8KG-4, CGMCC 1.5160, DSM 24202, JCM 17152	yes	no
Oligotropha carboxidovorans	ATCC 49405, DM5, DSM 1227, OM5	yes	yes
Olivibacter composti	BCRC 80939, CC-KYC063, JCM 31198	yes	no
Olivibacter ginsengisoli	Gsoil 060, KCTC 12646, LMG 23491	yes	no
Olivibacter jilunii	14-2A, CCTCC AB 2010105, KCTC 23098	yes	no
Olivibacter oleidegradans	CCM 7765, NCAIM B 02393, TBF2/20.2	yes	no
Olivibacter sitiensis	AW-6, CECT 7133, DSM 17696	yes	yes
Olivibacter soli	Gsoil 034, KCTC 12645, LMG 23492	yes	no
Olivibacter terrae	Jip13, KCTC 12644, LMG 23494	yes	no
Olleya algicola	3Alg 18, KCTC 22024, KMM 6133	yes	no
Olleya aquimaris	CCUG 58074, KCTC 22661, L-4	yes	no
Olleya marilimosa	ACAM 1065, CAM030, CIP 108537	yes	yes
Olleya namhaensis	CCUG 61507, KCTC 23673, WT-MY15	yes	no
Olsenella congonensis	CSUR P3359, Marseille-P3359	yes	no
Olsenella mediterranea	CSUR P3256, Marseille-P3256	yes	yes
Olsenella phocaeensis	CSUR P2936, Marseille-P2936	yes	yes
Olsenella profusa	CCUG 45371, CIP 106885, D315A-29, DSM 13989, JCM 14553	yes	no
Olsenella provencensis	CSUR P2912, Marseille-P2912	yes	yes
Olsenella scatoligenes	DSM 28304, JCM 19907, SK9K4	yes	yes
Olsenella uli	ATCC 49627, CCUG 31166, DSM 7084, JCM 12494, LMG 11480, VPI D76D-27C	yes	yes
Olsenella umbonata	CCUG 58604, DSM 22620, JCM 16156, lac31	yes	yes
Olsenella urininfantis	CSUR P3197, Marseille-P3197	yes	yes
Onodrimia javanensis	E28, UPOC E28/2016	no	no
Opitutus terrae	DSM 11246, JCM 15787, PB90-1	yes	yes
Orbus hercynius	CCUG 57622, CN3, DSM 22228	yes	no
Orbus sasakiae	C7, JCM 18050, KACC 16544	yes	no
Orenia chitinitropha	DSM 26670, HCh-An1, UNIQEM U928	yes	no
Orenia marismortui	ATCC 35420, DSM 5156, DY-1	yes	yes
Orenia metallireducens	ATCC BAA-2645, JCM 31419, Z6	yes	yes
Orenia salinaria	ATCC 700911, SG 3902	yes	no
Orenia sivashensis	DSM 12596, Z-7181, Z-7191	yes	no
Oribacterium asaccharolyticum	ACB7, ATCC BAA-2639, DSM 24638, HM-482	yes	yes
Oribacterium parvum	ACB1, ATCC BAA-2638, DSM 24637, HM-481	yes	yes
Oribacterium sinus	AIP 354.02, CCUG 48084, CIP 107991	yes	no
Oricola cellulosilytica	BCRC 80694, CC-AMH-0, JCM 19534	yes	no
Orientia chuto	Dubai	yes	yes
Orientia tsutsugamushi	ATCC VR 150, ATCC VR-150, Karp	yes	yes
Ornatilinea apprima	DSM 23815, P3M-1, VKM B-2669	yes	yes
Ornithinibacillus bavariensis	CCM 7096, CIP 109287, DSM 15681, WSBC 24001	yes	no
Ornithinibacillus californiensis	CCM 7237, DSM 16628, MB-9	yes	yes
Ornithinibacillus composti	CCTCC AB 2013261, GSS05, KCTC 33192	yes	no
Ornithinibacillus contaminans	CCUG 53201, DSM 22953	yes	yes
Ornithinibacillus halophilus	G8B, IBRC-M 10683, KCTC 13822	yes	yes
Ornithinibacillus halotolerans	CGMCC 1.12408, GD04, KCTC 33116	yes	no
Ornithinibacillus heyuanensis	CCTCC 2013106, CCTCC AB 2013106, GIESS003, KCTC 33159	yes	no
Ornithinibacillus massiliensis	CSUR P3601, Marseille-P3601	yes	no
Ornithinibacillus salinisoli	CGMCC 1.15809, KCTC 33862, LCB256	yes	no
Ornithinibacillus scapharcae	JCM 17314, KACC 15116, TW25	yes	yes
Ornithinibacter aureus	CGMCC 1.10341, DSM 23364, HB09001, JCM 17738	yes	no
Ornithinicoccus halotolerans	CGMCC 1.14989, EGI 80423, KCTC 39700	yes	no
Ornithinicoccus hortensis	ATCC BAA-9, CCUG 43142, CIP 106364, DSM 12335, HKI 0125, IFO 16434, JCM 11538, NBRC 16434	no	no
Ornithinimicrobium algicola	JC311, KCTC 39559, LMG 28808	yes	no
Ornithinimicrobium flavum	CPCC 203535, KCTC 29164, NBRC 109452	yes	no
Ornithinimicrobium humiphilum	CIP 106634, DSM 12362, HKI 0124, JCM 11540	yes	no
Ornithinimicrobium kibberense	DSM 17687, JCM 12763, K22-20, MTCC 6545	yes	no
Ornithinimicrobium murale	01-Gi-040, CCM 7610, DSM 22056	yes	no
Ornithinimicrobium pekingense	CGMCC 1.5362, DSM 21552, JCM 14001, LW6	yes	yes
Ornithinimicrobium tianjinense	B2, CGMCC 1.12160, JCM 18464	yes	no
Ornithobacterium rhinotracheale	ATCC 51463, CCUG 23171, CIP 104009, DSM 15997, LMG 9086, MCCM 01774	yes	yes
Orrella dioscoreae	CIP 111009, LMG 29303	yes	no
Oryzihumus leptocrescens	JCM 12835, KV-628, NBRC 100762, NRRL B-24347	yes	no
Oryzihumus soli	Aerobe-19, KACC 18485, KCTC 39705, NBRC 111450	yes	no
Oryzihumus terrae	DSM 27161, KACC 16543, KIS22-12, NBRC 109596	yes	no
Oryzisolibacter propanilivorax	CECT 8927, EPL6, LMG 28427	yes	yes
Oryzobacter terrae	DSM 27137, KACC 17299, NBRC 109598, PSGM2-16	yes	no
Oryzomicrobium terrae	BCRC 80905, JCM 30814, TPP412	yes	no
Oscilibacter massiliensis	CSUR P2778, Marseille-P2778	yes	no
Oscillatoria acuminata	PCC 6304	yes	yes
Oscillatoria nigro-viridis	PCC 7112	yes	yes
Oscillatoria sancta	PCC 7515	yes	no
Oscillibacter ruminantium	GH1, JCM 18333, KCTC 15176, NBRC 108824	yes	yes
Oscillibacter valericigenes	DSM 18026, NBRC 101213, Sjm18-20	no	yes
Oscillochloris trichoides	DG-6, VKM B-2210	yes	yes
Otariodibacter oris	Baika1, CCUG 59994, DSM 23800	yes	no
Ottowia beijingensis	CGMCC 1.12324, GCS-AN-3, LMG 27179, MCCC 1A01410	yes	no
Ottowia pentelensis	DSM 21699, NCAIM B 02336, RB3-7	yes	no
Ottowia shaoguanensis	CGMCC 1.12431, J5-66, LMG 27408	yes	no
Ottowia thiooxydans	DSM 14619, JCM 11629, K11	yes	yes
